id,text,label
1405548223998042113," Gempa Dirasakan Magnitudo: 4.1, Kedalaman: 25 km, 17 Jun 2021 22:07:03 WIB, Koordinat: 4.29 LS-102.32 BT (Pusat gempa berada di laut 37 km barat daya Seluma), Dirasakan (MMI): II-III Kota Bengkulu BMKG ",1
1405548136332873732," Gempa Magnitudo:4.1, 17-Jun-21 22:07:03 WIB, Lok:4.29 LS, 102.32 BT (Pusat gempa berada di laut 37 km barat daya Seluma), Kedlmn:25 Km Dirasakan (MMI) II-III Kota Bengkulu BMKG ",1
1405506446121263106," Gempa Dirasakan Magnitudo: 4.1, Kedalaman: 12 km, 17 Jun 2021 19:22:00 WIB, Koordinat: 0.78 LS-134.25 BT (Pusat gempa berada di laut 50 km timur laut Pegunungan Arfak), Dirasakan (MMI): II - III Manokwari BMKG ",1
1405506402009845763," Gempa Magnitudo:4.1, 17-Jun-21 19:22:00 WIB, Lok:0.78 LS, 134.25 BT (Pusat gempa berada di laut 50 km timur laut Pegunungan Arfak), Kedlmn:12 Km Dirasakan (MMI) II - III Manokwari BMKG ",1
1405420376599846912," Gempa Dirasakan Magnitudo: 4.2, Kedalaman: 27 km, 17 Jun 2021 11:44:31 WIB, Koordinat: 0.60 LU-126.67 BT (Pusat gempa berada di laut 79 km BaratDaya Ternate), Dirasakan (MMI): II Ternate BMKG ",1
1405420270563725314," Gempa Magnitudo:4.2, 17-Jun-21 11:44:31 WIB, Lok:0.60 LU, 126.67 BT (Pusat gempa berada di laut 79 km BaratDaya Ternate), Kedlmn:27 Km Dirasakan (MMI) II Ternate BMKG ",1
1405153733651038209," Gempa Dirasakan Magnitudo: 2.8, Kedalaman: 20 km, 16 Jun 2021 20:06:10 WIB, Koordinat: 3.46 LS-129.30 BT (Pusat gempa berada di laut 24 km Barat Tehoru, Maluku Tengah), Dirasakan (MMI): II Tehoru BMKG ",1
1405153723878285320," Gempa Magnitudo:2.8, 16-Jun-21 20:06:10 WIB, Lok:3.46 LS, 129.30 BT (Pusat gempa berada di laut 24 km Barat Tehoru, Maluku Tengah), Kedlmn:20 Km Dirasakan (MMI) II Tehoru BMKG ",1
1405046878001983489,"BMKG : WASPADA Gempa Susulan dan Potensi TSUNAMI akibat longsor ke/di bawah laut bagi Masyarakat di sepanjang Pantai Japutih sampai Pantai Apiahu Kabupaten Maluku Tengah, P. Seram, Maluku. SEGERA menjauhi pantai menuju tempat tinggi BMKG terus memonitor gempa susulan.",1
1405029422093115396," Gempa Dirasakan Magnitudo: 6.1, Kedalaman: 10 km, 16 Jun 2021 11:43:08 WIB, Koordinat: 3.39 LS-129.56 BT (Pusat gempa berada di Laut 67 km Tenggara MalukuTengah), Dirasakan (MMI): III Tehoru, III Masohi, III Bula, III Kairatu, II Ambon BMKG ",1
1405029322532921346," Gempa Magnitudo:6.1, 16-Jun-21 11:43:08 WIB, Lok:3.39 LS, 129.56 BT (Pusat gempa berada di Laut 67 km Tenggara MalukuTengah), Kedlmn:10 Km Dirasakan (MMI) III Tehoru, III Masohi, III Bula, III Kairatu, II Ambon BMKG ",1
1405024502203834371," Gempa Magnitudo: 6.1, Kedalaman: 10 km, 16 Jun 2021 11:43:08 WIB, Koordinat: 3.39 LS-129.56 BT (67 km Tenggara MALUKUTENGAH), Tidak berpotensi tsunami BMKG ",1
1405024403209920522," Gempa Magnitudo:6.1, 16-Jun-21 11:43:08 WIB, Lok:3.39 LS,129.56 BT (67 km Tenggara MALUKUTENGAH), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
1404993923861286915," Gempa Dirasakan Magnitudo: 4.3, Kedalaman: 10 km, 16 Jun 2021 08:59:49 WIB, Koordinat: 2.28 LS-140.23 BT (Pusat gempa berada di laut 39 km BaratLaut Kab. Jayapura), Dirasakan (MMI): II - III Nimbokrang BMKG ",1
1404993855997444098," Gempa Magnitudo:4.3, 16-Jun-21 08:59:49 WIB, Lok:2.28 LS, 140.23 BT (Pusat gempa berada di laut 39 km BaratLaut Kab. Jayapura), Kedlmn:10 Km Dirasakan (MMI) II - III Nimbokrang BMKG ",1
1404811401080737800," Gempa Mag:5.2, 15-Jun-21 21:16:14 WIB, Lok:4.33 LS, 102.37 BT (Pusat gempa berada dilaut 36 km BaratDaya Seluma), Kedlmn:26 Km Dirasakan (MMI) III-IV Seluma, II - III Kaur, III Kota Bengkulu, III Bengkulu Tengah, III Kepahiang, II Curup, II Liwa, II Argamakmur BMKG ",1
1404810387506319371," Gempa Magnitudo:5.2, 15-Jun-21 21:16:14 WIB, Lok:4.33 LS, 102.37 BT (Pusat gempa berada dilaut 36 km BaratDaya Seluma), Kedlmn:26 Km Dirasakan (MMI) III-IV Seluma, II - III Kaur, III Kota Bengkulu, III Bengkulu Tengah, III Kepahiang, II Curup, II Liwa BMKG ",1
1404806054253314054," Gempa Magnitudo: 5.2, Kedalaman: 26 km, 15 Jun 2021 21:16:14 WIB, Koordinat: 4.33 LS-102.37 BT (36 km BaratDaya SELUMA-BENGKULU), Tidak berpotensi tsunami BMKG ",1
1404806050008731659," Gempa Magnitudo:5.2, 15-Jun-21 21:16:14 WIB, Lok:4.33 LS,102.37 BT (36 km BaratDaya SELUMA-BENGKULU), Kedlmn:26 Km, tdk berpotensi tsunami BMKG ",1
1404468817795837955," Gempa Dirasakan Magnitudo: 2.2, Kedalaman: 12 km, 14 Jun 2021 21:02:34 WIB, Koordinat: 8.02 LS-110.42 BT (Pusat gempa berada di darat 10km selatan Imogiri), Dirasakan (MMI): II Saptosari BMKG ",1
1404468724480888834," Gempa Magnitudo:2.2, 14-Jun-21 21:02:34 WIB, Lok:8.02 LS, 110.42 BT (Pusat gempa berada di darat 10km selatan Imogiri), Kedlmn:12 Km Dirasakan (MMI) II Saptosari BMKG ",1
