text,label_A,label_B
"Bener2 ini jumat berkah dari malem ketemu malem ujan,semoga ga banjir ya Allah 😭",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0.0,
